epoch,train_loss,train_acc,train_precision_pos,train_precision_neg,train_recall_pos,train_recall_neg,train_F1_pos,train_F1_neg,train_AUC,val_loss,val_acc,val_precision_pos,val_precision_neg,val_recall_pos,val_recall_neg,val_F1_pos,val_F1_neg,val_AUC,test_loss,test_acc,test_precision_pos,test_precision_neg,test_recall_pos,test_recall_neg,test_F1_pos,test_F1_neg,test_AUC
1,0.4458134314235376,79.1164779663086,0.07184416800737381,0.8891953229904175,0.08118925243616104,0.8754624724388123,0.07623137533664703,0.8822755217552185,0.5656196515597783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3173606704388346,88.24903869628906,0.34939759969711304,0.9034180641174316,0.12435677647590637,0.972506046295166,0.18342821300029755,0.9366898536682129,0.7627649302489018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.2866172387587781,88.7162857055664,0.43645772337913513,0.912267804145813,0.21698112785816193,0.9667356610298157,0.2898605763912201,0.9387122392654419,0.8180336927875247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.24928155267725186,89.5961685180664,0.5189873576164246,0.9179564714431763,0.2695826292037964,0.9703336358070374,0.3548448085784912,0.9434186220169067,0.8671796560071305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.22223713172941792,90.31220245361328,0.5652546286582947,0.9289073348045349,0.3776443600654602,0.9655137062072754,0.452784925699234,0.9468567967414856,0.8945326912114472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.20806490918811488,91.26793670654297,0.6156716346740723,0.9389675855636597,0.4716981053352356,0.965038537979126,0.5341534614562988,0.9518245458602905,0.9057222038209696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.19532649766425697,92.0628662109375,0.6466090679168701,0.9481486678123474,0.5560320019721985,0.9639183878898621,0.5979096293449402,0.9559684991836548,0.9162693044068357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.19104682532500247,92.7333984375,0.6726134419441223,0.9546768069267273,0.6143510341644287,0.9644954204559326,0.6421634554862976,0.9595609903335571,0.919378152225319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.18229090574444556,93.30683898925781,0.70612633228302,0.9569153189659119,0.6326472163200378,0.968738317489624,0.6673703193664551,0.9627904891967773,0.922433353712826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.17600116757105808,93.6375503540039,0.7158705592155457,0.960456371307373,0.6640937924385071,0.9687044024467468,0.6890107989311218,0.9645627737045288,0.9296039085231129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
